nno,,nn,"Norwegian Nynorsk; Nynorsk, Norwegian","norvégien nynorsk; nynorsk, norvégien",ltr
nob,,nb,"Bokmål, Norwegian; Norwegian Bokmål","norvégien bokmål",ltr
nog,,,Nogai,"nogaï; nogay",ltr
non,,,"Norse, Old","norrois, vieux",ltr
nor,,no,Norwegian,norvégien,ltr
nqo,,,N'Ko,n'ko,rtl
nso,,,"Pedi; Sepedi; Northern Sotho","pedi; sepedi; sotho du Nord",ltr
nub,,,"Nubian languages","nubiennes, langues",ltr
nwc,,,"Classical Newari; Old Newari; Classical Nepal Bhasa","newari classique",ltr
nya,,ny,"Chichewa; Chewa; Nyanja","chichewa; chewa; nyanja",ltr
nym,,,Nyamwezi,nyamwezi,ltr
nyn,,,Nyankole,nyankolé,ltr
nyo,,,Nyoro,nyoro,ltr
nzi,,,Nzima,nzema,ltr
oci,,oc,"Occitan (post 1500)","occitan (après 1500)",ltr
oji,,oj,Ojibwa,ojibwa,ltr
ori,,or,Oriya,oriya,ltr
orm,,om,Oromo,galla,ltr
osa,,,Osage,osage,ltr
oss,,os,"Ossetian; Ossetic",ossète,ltr
ota,,,"Turkish, Ottoman (1500-1928)","turc ottoman (1500-1928)",rtl
oto,,,"Otomian languages","otomi, langues",ltr
paa,,,"Papuan languages","papoues, langues",ltr
pag,,,Pangasinan,pangasinan,ltr
pal,,,Pahlavi,pahlavi,rtl
pam,,,"Pampanga; Kapampangan",pampangan,ltr
pan,,pa,"Panjabi; Punjabi",pendjabi,rtl
pap,,,Papiamento,papiamento,ltr
pau,,,Palauan,palau,ltr
peo,,,"Persian, Old (ca.600-400 B.C.)","perse, vieux (ca. 600-400 av. J.-C.)",rtl
per,fas,fa,Persian,persan,rtl
phi,,,"Philippine languages","philippines, langues",ltr
phn,,,Phoenician,phénicien,ltr
pli,,pi,Pali,pali,ltr
pol,,pl,Polish,polonais,ltr
pon,,,Pohnpeian,pohnpei,ltr
por,,pt,Portuguese,portugais,ltr
pra,,,"Prakrit languages","prâkrit, langues",ltr
pro,,,"Provençal, Old (to 1500); Occitan, Old (to 1500)","provençal ancien (jusqu'à 1500); occitan ancien (jusqu'à 1500)",ltr
pus,,ps,"Pushto; Pashto",pachto,rtl
qaa-qtz,,,"Reserved for local use","réservée à l'usage local",ltr
que,,qu,Quechua,quechua,ltr
raj,,,Rajasthani,rajasthani,ltr
rap,,,Rapanui,rapanui,ltr
rar,,,"Rarotongan; Cook Islands Maori","rarotonga; maori des îles Cook",ltr
roa,,,"Romance languages","romanes, langues",ltr
roh,,rm,Romansh,romanche,ltr
rom,,,Romany,tsigane,ltr
rum,ron,ro,Romanian,roumain,ltr
run,,rn,Rundi,rundi,ltr
rup,,,"Aromanian; Arumanian; Macedo-Romanian","aroumain; macédo-roumain",ltr
rus,,ru,Russian,russe,ltr
sad,,,Sandawe,sandawe,ltr
sag,,sg,Sango,sango,ltr
sah,,,Yakut,iakoute,ltr
sai,,,"South American Indian languages","sud-amérindiennes, langues",ltr
sal,,,"Salishan languages","salishennes, langues",ltr
sam,,,"Samaritan Aramaic",samaritain,rtl
san,,sa,Sanskrit,sanskrit,ltr
sas,,,Sasak,sasak,ltr
sat,,,Santali,santal,ltr
scn,,,Sicilian,sicilien,ltr
sco,,,Scots,écossais,ltr
sel,,,Selkup,selkoupe,ltr
sem,,,"Semitic languages","sémitiques, langues",ltr
sga,,,"Irish, Old (to 900)","irlandais ancien (jusqu'à 900)",ltr
sgn,,,"Sign Languages","langues des signes",ltr
shn,,,Shan,chan,ltr
sid,,,Sidamo,sidamo,ltr
sin,,si,"Sinhala; Sinhalese",singhalais,ltr
sio,,,"Siouan languages","sioux, langues",ltr
sit,,,"Sino-Tibetan languages","sino-tibétaines, langues",ltr
sla,,,"Slavic languages","slaves, langues",ltr
slo,slk,sk,Slovak,slovaque,ltr
slv,,sl,Slovenian,slovène,ltr
sma,,,"Southern Sami","sami du Sud",ltr
sme,,se,"Northern Sami","sami du Nord",ltr
smi,,,"Sami languages","sames, langues",ltr
smj,,,"Lule Sami","sami de Lule",ltr
smn,,,"Inari Sami","sami d'Inari",ltr
smo,,sm,Samoan,samoan,ltr
sms,,,"Skolt Sami","sami skolt",ltr
sna,,sn,Shona,shona,ltr
snd,,sd,Sindhi,sindhi,rtl
snk,,,Soninke,soninké,ltr
sog,,,Sogdian,sogdien,ttb
som,,so,Somali,somali,ltr
son,,,"Songhai languages","songhai, langues",ltr
sot,,st,"Sotho, Southern","sotho du Sud",ltr
spa,,es,"Spanish; Castilian","espagnol; castillan",ltr
srd,,sc,Sardinian,sarde,ltr
srn,,,"Sranan Tongo","sranan tongo",ltr
srp,,sr,Serbian,serbe,ltr
srr,,,Serer,sérère,ltr
ssa,,,"Nilo-Saharan languages","nilo-sahariennes, langues",ltr
ssw,,ss,Swati,swati,ltr
suk,,,Sukuma,sukuma,ltr
sun,,su,Sundanese,soundanais,ltr
sus,,,Susu,soussou,ltr
sux,,,Sumerian,sumérien,ltr
swa,,sw,Swahili,swahili,ltr
swe,,sv,Swedish,suédois,ltr
syc,,,"Classical Syriac","syriaque classique",rtl
syr,,,Syriac,syriaque,rtl
tah,,ty,Tahitian,tahitien,ltr
tai,,,"Tai languages","tai, langues",ltr
tam,,ta,Tamil,tamoul,ltr
tat,,tt,Tatar,tatar,ltr
tel,,te,Telugu,télougou,ltr
tem,,,Timne,temne,ltr
ter,,,Tereno,tereno,ltr
tet,,,Tetum,tetum,ltr
tgk,,tg,Tajik,tadjik,ltr
tgl,,tl,Tagalog,tagalog,ltr
tha,,th,Thai,thaï,ltr
tib,bod,bo,Tibetan,tibétain,ltr
tig,,,Tigre,tigré,ltr
tir,,ti,Tigrinya,tigrigna,ltr
tiv,,,Tiv,tiv,ltr
tkl,,,Tokelau,tokelau,ltr
tlh,,,"Klingon; tlhIngan-Hol",klingon,ltr
tli,,,Tlingit,tlingit,ltr
tmh,,,Tamashek,tamacheq,rtl
tog,,,"Tonga (Nyasa)","tonga (Nyasa)",ltr
ton,,to,"Tonga (Tonga Islands)","tongan (Îles Tonga)",ltr
tpi,,,"Tok Pisin","tok pisin",ltr
tsi,,,Tsimshian,tsimshian,ltr
tsn,,tn,Tswana,tswana,ltr
tso,,ts,Tsonga,tsonga,ltr
tuk,,tk,Turkmen,turkmène,rtl
tum,,,Tumbuka,tumbuka,ltr
tup,,,"Tupi languages","tupi, langues",ltr
tur,,tr,Turkish,turc,ltr
tut,,,"Altaic languages","altaïques, langues",ltr
tvl,,,Tuvalu,tuvalu,ltr
twi,,tw,Twi,twi,ltr
tyv,,,Tuvinian,touva,ltr
udm,,,Udmurt,oudmourte,ltr
uga,,,Ugaritic,ougaritique,ltr
uig,,ug,"Uighur; Uyghur",ouïgour,rtl
ukr,,uk,Ukrainian,ukrainien,ltr
umb,,,Umbundu,umbundu,ltr
und,,,Undetermined,indéterminée,ltr
urd,,ur,Urdu,ourdou,rtl
uzb,,uz,Uzbek,ouszbek,ltr
vai,,,Vai,vaï,ltr
ven,,ve,Venda,venda,ltr
vie,,vi,Vietnamese,vietnamien,ttb
vol,,vo,Volapük,volapük,ltr
vot,,,Votic,vote,ltr
wak,,,"Wakashan languages","wakashanes, langues",ltr
wal,,,"Wolaitta; Wolaytta","wolaitta; wolaytta",ltr
war,,,Waray,waray,ltr
was,,,Washo,washo,ltr
wel,cym,cy,Welsh,gallois,ltr
wen,,,"Sorbian languages","sorabes, langues",ltr
wln,,wa,Walloon,wallon,ltr
wol,,wo,Wolof,wolof,ltr
xal,,,"Kalmyk; Oirat","kalmouk; oïrat",ltr
xho,,xh,Xhosa,xhosa,ltr
yao,,,Yao,yao,ttb
yap,,,Yapese,yapois,ltr
yid,,yi,Yiddish,yiddish,rtl
yor,,yo,Yoruba,yoruba,ltr
ypk,,,"Yupik languages","yupik, langues",ltr
zap,,,Zapotec,zapotèque,ltr
zbl,,,"Blissymbols; Blissymbolics; Bliss","symboles Bliss; Bliss",ltr
zen,,,Zenaga,zenaga,ltr
zgh,,,"Standard Moroccan Tamazight","amazighe standard marocain",ltr
zha,,za,"Zhuang; Chuang","zhuang; chuang",ttb
znd,,,"Zande languages","zandé, langues",ltr
zul,,zu,Zulu,zoulou,ltr
zun,,,Zuni,zuni,ltr
zxx,,,"No linguistic content; Not applicable","pas de contenu linguistique; non applicable",ltr
zza,,,"Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki","zaza; dimili; dimli; kirdki; kirmanjki; zazaki",ltr
